gene_id	gene_name	gene_type	strand	TPM.H1	FPKM.H1	SPIN.H1	TPM.HFF	FPKM.HFF	SPIN.HFF	ABC_h3k4me3.H1	ABC_h3k4me3.HFF	ABC_pol2.H1	ABC_pol2.HFF
ENSG00000003987.13	MTMR7	protein_coding	-	3.87	3.39	Interior_Act3	0	0	Interior_Repr2	2.39944	0	2.3626	0
ENSG00000003989.17	SLC7A2	protein_coding	+	14.57	12.75	Interior_Act3	0	0	Interior_Repr2	16.7804	9.02043	7.67743	4.03362
ENSG00000004059.10	ARF5	protein_coding	+	82.7	72.37	Interior_Act3	116.9	94.08	Interior_Act1	38.4207	300.87	13.0165	82.944
ENSG00000004139.13	SARM1	protein_coding	+	4.94	4.32	Interior_Act2	13.72	11.04	Speckle	30.9664	109.95	17.8619	49.2117
ENSG00000004142.11	POLDIP2	protein_coding	-	39.73	34.77	Interior_Act2	43.16	34.74	Speckle	25.9319	319.212	13.054	96.7031
ENSG00000004399.12	PLXND1	protein_coding	-	35.64	31.19	Interior_Act1	137.71	110.83	Speckle	194.957	718.496	65.0607	336.285
ENSG00000004455.16	AK2	protein_coding	-	73.43	64.26	Speckle	104.15	83.82	Speckle	19.0881	70.6958	4.37081	31.6169
ENSG00000004468.12	CD38	protein_coding	+	0.13	0.12	Interior_Repr1	0	0	Interior_Repr1	13.4347	23.2215	3.11488	16.5281
ENSG00000004478.7	FKBP4	protein_coding	+	130.49	114.18	Speckle	16.65	13.4	Speckle	234.421	11.9289	131.193	3.8603
ENSG00000004487.16	KDM1A	protein_coding	+	147.42	129	Speckle	32.96	26.53	Speckle	51.9814	9.8216	65.0276	8.73891
ENSG00000004534.14	RBM6	protein_coding	+	43.01	37.64	Speckle	52.83	42.51	Speckle	94.5457	49.6612	17.343	21.7492
ENSG00000004660.14	CAMKK1	protein_coding	-	4.07	3.56	Speckle	4.87	3.92	Speckle	0	95.4346	0	15.6022
ENSG00000004700.15	RECQL	protein_coding	-	21.65	18.95	Lamina	8.08	6.5	Near_Lm2	249.639	103.987	140.267	14.0459
ENSG00000004766.16	VPS50	protein_coding	+	5	4.37	Interior_Act3	8.01	6.44	Interior_Act3	0	63.779	0	26.3785
ENSG00000004776.12	HSPB6	protein_coding	-	0.1	0.09	Speckle	188.4	151.62	Speckle	95.3179	46.2641	17.2433	2.43421
ENSG00000004777.18	ARHGAP33	protein_coding	+	13.52	11.83	Speckle	6.49	5.22	Speckle	88.9448	14.5139	14.8458	2.0332
ENSG00000004779.9	NDUFAB1	protein_coding	-	72.65	63.58	Speckle	41.72	33.58	Interior_Repr1	154.474	44.1843	75.7024	16.7286
ENSG00000004799.7	PDK4	protein_coding	-	0.14	0.12	Interior_Act3	0	0	Near_Lm1	0	0	0	0
ENSG00000004809.13	SLC22A16	protein_coding	-	0	0	Interior_Act1	0	0	Interior_Repr2	0	0	0	0
ENSG00000004838.13	ZMYND10	protein_coding	-	0.3	0.26	Speckle	1.04	0.83	Speckle	22.3969	38.935	11.1095	15.8705
ENSG00000004846.16	ABCB5	protein_coding	+	0	0	Interior_Act3	0	0	Lamina	0	0	0	0
ENSG00000004848.7	ARX	protein_coding	-	0	0	Interior_Act3	0	0	Interior_Repr2	8.84988	0	2.27265	0
ENSG00000004864.13	SLC25A13	protein_coding	-	45.85	40.12	Near_Lm2	3.9	3.14	Interior_Repr2	7.7427	125.141	2.03303	23.391
ENSG00000004866.20	ST7	protein_coding	+	9.64	8.44	Interior_Act3	13.42	10.8	Interior_Act1	0	107.536	0	56.4209
ENSG00000004897.11	CDC27	protein_coding	-	46.99	41.12	Speckle	18.55	14.93	Speckle	0	249.056	0	90.6964
ENSG00000004939.14	SLC4A1	protein_coding	-	0.01	0.01	Speckle	0	0	Speckle	17.3583	0	7.87042	0
ENSG00000004948.14	CALCR	protein_coding	-	1.93	1.69	Interior_Act3	0	0	Interior_Act3	0	0	0	0
ENSG00000004961.14	HCCS	protein_coding	+	16.05	14.04	Lamina	12.08	9.72	Interior_Act3	6.65222	0	5.03618	0
ENSG00000004975.11	DVL2	protein_coding	-	31.99	28	Speckle	16.64	13.39	Speckle	503.84	122.104	143.028	27.9377
ENSG00000005001.9	PRSS22	protein_coding	-	2.37	2.08	Speckle	0	0	Speckle	27.7812	0	19.3479	0
ENSG00000005007.12	UPF1	protein_coding	+	33.28	29.12	Speckle	14.59	11.74	Speckle	164.132	249.695	76.0111	62.146
ENSG00000005020.12	SKAP2	protein_coding	-	2.72	2.38	Interior_Repr2	2.22	1.79	Interior_Repr2	29.3553	203.47	4.78736	72.6857
ENSG00000005022.5	SLC25A5	protein_coding	+	274.64	240.33	Interior_Act1	49.68	39.98	Interior_Act1	0	71.3012	0	34.2917
ENSG00000005059.15	MCUB	protein_coding	+	10.43	9.13	Interior_Act3	3.92	3.15	Interior_Repr2	109.503	88.9133	59.924	69.9239
ENSG00000005073.5	HOXA11	protein_coding	-	0	0	Interior_Act1	22.27	17.92	Interior_Repr1	1.59999	70.8149	0.957252	8.97982
ENSG00000005075.15	POLR2J	protein_coding	-	29.06	25.43	Interior_Act2	106.3	85.55	Speckle	0	0	0	0
ENSG00000005100.12	DHX33	protein_coding	-	37.56	32.87	Speckle	5.35	4.3	Speckle	409.273	409.166	204.512	91.3006
ENSG00000005102.12	MEOX1	protein_coding	-	0.04	0.04	Speckle	0	0	Speckle	12.6567	84.2764	23.5292	55.6934
ENSG00000005108.15	THSD7A	protein_coding	-	0.67	0.59	Lamina	0.02	0.01	Lamina	47.0035	4.04414	6.02237	1.57821
ENSG00000005156.11	LIG3	protein_coding	+	47.95	41.96	Near_Lm1	4.45	3.58	Interior_Repr1	265.602	975.806	116.768	700.687
ENSG00000005175.9	RPAP3	protein_coding	-	32.49	28.43	Interior_Act2	10.8	8.7	Speckle	5.15271	126.177	6.28967	47.3046
ENSG00000005187.11	ACSM3	protein_coding	+	3.31	2.89	Near_Lm1	0.38	0.31	Near_Lm1	16.4174	0	2.58477	0
ENSG00000005189.19	REXO5	protein_coding	+	4.8	4.2	Interior_Act2	1.8	1.45	Near_Lm1	24.8441	311.378	4.17686	135.843
ENSG00000005194.14	CIAPIN1	protein_coding	-	44.89	39.28	Speckle	23.28	18.73	Speckle	300.205	170.275	88.2632	60.4808
ENSG00000005206.16	SPPL2B	protein_coding	+	29.91	26.17	Speckle	37.47	30.15	Speckle	170.862	108.164	47.7451	20.0281
ENSG00000005238.19	FAM214B	protein_coding	-	3.69	3.23	Interior_Act2	32.82	26.41	Interior_Act2	244.13	681.134	89.0814	179.108
ENSG00000005243.9	COPZ2	protein_coding	-	0	0	Speckle	208.71	167.97	Speckle	362.603	56.5482	267.15	23.5352
ENSG00000005249.12	PRKAR2B	protein_coding	+	19.87	17.39	Interior_Act3	0.78	0.63	Interior_Act3	22.364	37.6039	1.03239	8.49345
ENSG00000005302.18	MSL3	protein_coding	+	6.62	5.8	Lamina	13.83	11.13	Interior_Repr2	3.89772	21.6243	1.8092	7.07913
ENSG00000005339.14	CREBBP	protein_coding	-	32.29	28.25	Speckle	16.39	13.19	Speckle	83.6542	836.869	47.8364	442.897
ENSG00000005379.16	TSPOAP1	protein_coding	-	4.94	4.32	Speckle	4.12	3.32	Near_Lm1	205.018	7.21166	69.8474	2.60345
ENSG00000005381.7	MPO	protein_coding	-	0.4	0.35	Speckle	0	0	Near_Lm1	72.6013	0	22.0042	0
ENSG00000005421.8	PON1	protein_coding	-	0.11	0.09	Interior_Act3	0	0	Near_Lm1	0	0	0	0
ENSG00000005436.13	GCFC2	protein_coding	-	10.23	8.95	Interior_Repr2	7.39	5.95	Interior_Act3	76.3987	28.907	22.3899	18.6819
ENSG00000005448.16	WDR54	protein_coding	+	22.36	19.57	Speckle	8.22	6.61	Speckle	409.005	118.852	194.28	55.5206
ENSG00000005469.11	CROT	protein_coding	+	3.03	2.65	Lamina	10	8.04	Interior_Repr2	0	97.3582	0	60.2046
ENSG00000005471.17	ABCB4	protein_coding	-	0.32	0.28	Lamina	0.3	0.25	Interior_Repr2	0	0	0	0
ENSG00000005483.20	KMT2E	protein_coding	+	24.14	21.12	Interior_Act1	13.27	10.68	Interior_Act1	2699.99	706.944	4092.58	750.376
ENSG00000005486.16	RHBDD2	protein_coding	+	15.2	13.3	Speckle	77.1	62.05	Speckle	137.211	46.4753	22.0735	8.95566
ENSG00000005513.9	SOX8	protein_coding	+	3.04	2.66	Interior_Act2	0.26	0.21	Speckle	9.42609	5.09687	2.90126	4.77296
ENSG00000005700.14	IBTK	protein_coding	-	12.97	11.35	Lamina	10.64	8.56	Interior_Act3	54.9521	124.848	14.0774	68.4502
ENSG00000005801.17	ZNF195	protein_coding	-	47.55	41.61	Interior_Act2	13.78	11.09	Interior_Act2	166.905	12.3518	72.0407	7.07523
ENSG00000005810.17	MYCBP2	protein_coding	-	27.99	24.49	Interior_Act3	17.86	14.37	Interior_Act3	26.573	104.696	10.4087	64.7294
ENSG00000005812.10	FBXL3	protein_coding	-	7.98	6.98	Interior_Act3	9.82	7.9	Interior_Act3	58.7063	126.609	19.7041	59.637
ENSG00000005844.17	ITGAL	protein_coding	+	0	0	Interior_Act2	0.07	0.06	Speckle	70.23	17.8737	4.07802	16.2256
ENSG00000005882.11	PDK2	protein_coding	+	9.8	8.58	Speckle	38.83	31.25	Speckle	69.4969	300.667	34.124	124.709
ENSG00000005884.17	ITGA3	protein_coding	+	13.01	11.38	Speckle	158.59	127.63	Speckle	599.566	802.069	132.657	147.276
ENSG00000005889.15	ZFX	protein_coding	+	11.81	10.34	Interior_Act1	5.93	4.77	Interior_Act1	48.7523	88.1247	9.69027	46.702
ENSG00000005893.15	LAMP2	protein_coding	-	16.08	14.07	Interior_Act3	54.59	43.93	Interior_Repr1	5.02733	47.7429	0.687051	20.9682
ENSG00000005961.18	ITGA2B	protein_coding	-	6.58	5.76	Speckle	0.52	0.42	Speckle	43.6808	0	23.5798	0
ENSG00000005981.12	ASB4	protein_coding	+	0	0	Interior_Act3	0	0	Near_Lm1	5.19277	12.573	1.00984	10.6002
ENSG00000006007.11	GDE1	protein_coding	-	38.02	33.27	Interior_Act2	44.58	35.88	Interior_Repr1	315.139	635.634	104.402	122.395
ENSG00000006015.17	REX1BD	protein_coding	+	30.49	26.68	Speckle	26.13	21.03	Speckle	258.076	486.62	107.129	129.324
ENSG00000006016.10	CRLF1	protein_coding	-	5.55	4.86	Speckle	37.51	30.19	Speckle	606.836	38.5637	464.58	34.919
ENSG00000006025.11	OSBPL7	protein_coding	-	4.79	4.19	Speckle	6.65	5.35	Speckle	26.0451	0	7.43109	0
ENSG00000006042.11	TMEM98	protein_coding	+	46.25	40.47	Near_Lm1	36.14	29.09	Interior_Repr1	24.3028	0	24.9043	0
ENSG00000006047.12	YBX2	protein_coding	-	16.36	14.32	Speckle	0	0	Speckle	284.934	119.158	85.2198	24.2308
ENSG00000006059.3	KRT33A	protein_coding	-	0	0	Interior_Act2	0	0	Speckle	0	0	0	0
ENSG00000006062.15	MAP3K14	protein_coding	-	3.29	2.88	Speckle	4.07	3.28	Speckle	489.9	769.965	256.777	754.179
ENSG00000006071.13	ABCC8	protein_coding	-	2.01	1.76	Interior_Act1	0	0	Interior_Repr1	274.294	12.2049	52.6344	2.81222
ENSG00000006116.3	CACNG3	protein_coding	+	0	0	Speckle	0	0	Near_Lm1	13.7508	6.44239	17.281	1.48807
ENSG00000006118.14	TMEM132A	protein_coding	+	52.57	46	Interior_Act2	22.68	18.25	Interior_Repr1	11.7788	0	9.03563	0
ENSG00000006125.17	AP2B1	protein_coding	+	106.63	93.31	Near_Lm1	34.93	28.11	Interior_Act2	110.245	66.5257	72.1087	25.2794
ENSG00000006128.11	TAC1	protein_coding	+	2.32	2.03	Interior_Repr2	0	0	Interior_Repr2	0	0	0	0
ENSG00000006194.9	ZNF263	protein_coding	+	14.33	12.54	Speckle	11.57	9.31	Speckle	1093.27	1635.3	515.752	478.732
ENSG00000006210.6	CX3CL1	protein_coding	+	0.75	0.65	Speckle	0	0	Speckle	7.95674	0	20.1461	0
ENSG00000006282.20	SPATA20	protein_coding	+	8.68	7.6	Speckle	66.35	53.39	Speckle	56.3036	176.5	18.5287	120.521
ENSG00000006283.17	CACNA1G	protein_coding	+	2.62	2.29	Speckle	0.24	0.19	Speckle	147.95	31.1622	43.7409	31.6745
ENSG00000006327.13	TNFRSF12A	protein_coding	+	43.48	38.05	Speckle	322.14	259.25	Speckle	440.553	363.17	168.566	168.136
ENSG00000006377.10	DLX6	protein_coding	+	0	0	Interior_Repr2	0	0	Interior_Repr2	0	0	0	0
ENSG00000006432.15	MAP3K9	protein_coding	-	13.28	11.62	Interior_Act1	0.02	0.02	Near_Lm1	171.899	25.6418	40.3914	12.1185
ENSG00000006451.7	RALA	protein_coding	+	39.08	34.2	Interior_Act1	15.75	12.67	Interior_Act1	351.952	1232.37	94.0198	1727.03
ENSG00000006453.13	BAIAP2L1	protein_coding	-	23.02	20.14	Interior_Act1	8.01	6.44	Interior_Repr1	706.186	269.618	662.801	387.79
ENSG00000006459.10	KDM7A	protein_coding	-	6.7	5.87	Interior_Act1	3.4	2.74	Interior_Repr1	173.531	48.4862	53.6726	58.1523
ENSG00000006468.13	ETV1	protein_coding	-	48.96	42.85	Interior_Act3	3.2	2.58	Interior_Repr2	25.7923	354.753	14.9901	138.076
ENSG00000006530.16	AGK	protein_coding	+	18.25	15.97	Interior_Act1	6.93	5.58	Interior_Repr2	101.25	293.166	52.5903	123.835
ENSG00000006534.15	ALDH3B1	protein_coding	+	0.17	0.14	Speckle	34.1	27.44	Speckle	3.48913	310.866	7.98478	108.936
ENSG00000006555.10	TTC22	protein_coding	-	0.88	0.77	Interior_Act1	0	0	Interior_Act1	18.0175	10.8632	10.2902	8.89316
ENSG00000006576.16	PHTF2	protein_coding	+	13.62	11.91	Interior_Act3	10.29	8.28	Interior_Act1	1309.73	1960.84	224.913	341.77
ENSG00000006606.8	CCL26	protein_coding	-	8	7	Speckle	1.77	1.42	Speckle	142.922	84.5484	21.1708	19.3561
ENSG00000006607.13	FARP2	protein_coding	+	17.94	15.7	Speckle	14	11.27	Speckle	67.9897	132.235	39.7025	47.1959
ENSG00000006611.15	USH1C	protein_coding	-	0.69	0.6	Interior_Act1	0	0	Interior_Repr1	30.1094	24.0169	24.362	15.0549
ENSG00000006625.17	GGCT	protein_coding	-	69.05	60.42	Interior_Act1	16.92	13.62	Interior_Repr1	136.332	104.539	11.0091	16.7775
ENSG00000006634.7	DBF4	protein_coding	+	44.26	38.73	Lamina	2.73	2.19	Interior_Repr2	247.303	121.511	23.5695	25.8422
ENSG00000006638.11	TBXA2R	protein_coding	-	0.27	0.24	Speckle	2.63	2.11	Speckle	0	199.26	0	39.2115
ENSG00000006652.13	IFRD1	protein_coding	+	27.05	23.67	Interior_Act3	36.66	29.5	Interior_Repr2	1275.26	744.248	920.148	431.026
ENSG00000006659.12	LGALS14	protein_coding	+	0.27	0.23	Interior_Act2	0	0	Near_Lm1	0	0	0	0
ENSG00000006695.10	COX10	protein_coding	+	12.37	10.83	Near_Lm1	5.28	4.25	Interior_Repr1	62.5464	30.6042	13.2718	8.84435
ENSG00000006704.10	GTF2IRD1	protein_coding	+	24.38	21.33	Speckle	27.55	22.17	Speckle	204.119	114.248	103.57	31.657
ENSG00000006712.14	PAF1	protein_coding	-	16.87	14.76	Speckle	28.12	22.63	Speckle	578.786	839.419	109.955	208.63
ENSG00000006715.15	VPS41	protein_coding	-	33.97	29.73	Near_Lm2	8.85	7.12	Interior_Repr2	2.21806	7.3163	22.2068	67.5559
ENSG00000006740.16	ARHGAP44	protein_coding	+	11.9	10.42	Near_Lm1	0.62	0.5	Near_Lm1	390.701	0	203.215	0
ENSG00000006744.18	ELAC2	protein_coding	-	49.2	43.06	Near_Lm1	27.72	22.31	Near_Lm1	3.03966	22.8244	3.80733	6.98538
ENSG00000006747.14	SCIN	protein_coding	+	1	0.88	Interior_Act3	1.09	0.88	Interior_Repr2	0	0	0	0
ENSG00000006756.15	ARSD	protein_coding	-	1.73	1.51	Interior_Act1	3.1	2.49	Interior_Repr1	21.6568	0	12.0639	0
ENSG00000006757.11	PNPLA4	protein_coding	-	7.68	6.72	Interior_Repr2	8.15	6.56	Interior_Repr2	0	15.2017	0	8.00671
ENSG00000006788.13	MYH13	protein_coding	-	0	0	Near_Lm1	0	0	Near_Lm1	1.41918	0	0.588127	0
ENSG00000006831.9	ADIPOR2	protein_coding	+	27.26	23.85	Interior_Act2	15.79	12.71	Speckle	0	907.518	0	295.063
ENSG00000006837.11	CDKL3	protein_coding	-	0.9	0.78	Interior_Act1	1.5	1.21	Interior_Act1	942.421	302.919	299.293	65.0276
ENSG00000007001.12	UPP2	protein_coding	+	0	0	Interior_Act3	0	0	Interior_Repr2	92.9318	82.8164	18.5141	58.1835
ENSG00000007038.10	PRSS21	protein_coding	+	0.56	0.49	Speckle	0	0	Speckle	33.7717	0	10.9041	0
ENSG00000007047.14	MARK4	protein_coding	+	26.73	23.39	Speckle	40.67	32.73	Speckle	132.855	547.751	57.5588	42.0518
ENSG00000007062.11	PROM1	protein_coding	-	32.05	28.05	Interior_Repr1	0	0	Interior_Repr1	992.972	5.68027	524.401	4.28325
ENSG00000007080.10	CCDC124	protein_coding	+	55.45	48.52	Speckle	68.11	54.82	Speckle	29.8247	108.31	141.388	58.3824
ENSG00000007129.17	CEACAM21	protein_coding	+	0.27	0.24	Interior_Act2	0	0	Interior_Act2	0	16.757	0	9.29317
ENSG00000007168.12	PAFAH1B1	protein_coding	+	81.35	71.19	Speckle	34.02	27.38	Speckle	973.387	276.121	340.045	77.7487
ENSG00000007171.17	NOS2	protein_coding	-	1.04	0.91	Near_Lm1	0	0	Near_Lm1	4.21338	0	0.985818	0
ENSG00000007174.17	DNAH9	protein_coding	+	0.46	0.41	Near_Lm1	0	0	Near_Lm1	0	0	0	0
ENSG00000007202.14	KIAA0100	protein_coding	-	75.17	65.78	Speckle	23.14	18.62	Speckle	1087.34	793.202	277.172	138.907
ENSG00000007216.14	SLC13A2	protein_coding	+	0	0	Interior_Act2	0	0	Speckle	0	0	0	0
ENSG00000007237.18	GAS7	protein_coding	-	7.78	6.81	Interior_Act2	2.64	2.12	Interior_Act2	38.5637	51.162	10.7684	34.9483
ENSG00000007255.10	TRAPPC6A	protein_coding	-	17.09	14.96	Speckle	7.33	5.9	Speckle	211.301	330.359	45.1043	97.2658
ENSG00000007264.14	MATK	protein_coding	-	11.48	10.04	Speckle	0	0	Speckle	20.2661	0	14.5413	0
ENSG00000007306.14	CEACAM7	protein_coding	-	0	0	Interior_Act2	0	0	Interior_Act2	0	35.8688	0	10.9513
ENSG00000007312.12	CD79B	protein_coding	-	0.79	0.69	Speckle	0.34	0.28	Speckle	0	0	0	0
ENSG00000007314.12	SCN4A	protein_coding	-	4.56	3.99	Speckle	0	0	Speckle	9.55867	6.15914	9.46946	11.1368
ENSG00000007341.18	ST7L	protein_coding	-	8.71	7.62	Speckle	8.68	6.99	Interior_Act1	204.659	3866.36	47.8943	751.627
ENSG00000007350.16	TKTL1	protein_coding	+	0	0	Interior_Act2	0	0	Speckle	0	0	0	0
ENSG00000007372.22	PAX6	protein_coding	-	0.16	0.14	Interior_Repr1	0.14	0.11	Interior_Repr2	197.148	11.2073	77.8979	6.71182
ENSG00000007376.7	RPUSD1	protein_coding	-	17.31	15.15	Speckle	15.88	12.78	Speckle	102.424	129.867	26.313	51.9795
ENSG00000007384.15	RHBDF1	protein_coding	-	20.06	17.55	Interior_Act2	80.21	64.55	Interior_Act2	101.819	184.826	47.4729	60.9645
ENSG00000007392.16	LUC7L	protein_coding	-	69.19	60.55	Speckle	54.59	43.94	Speckle	1409.56	55.7981	911.087	15.5772
ENSG00000007402.11	CACNA2D2	protein_coding	-	7.59	6.64	Speckle	0.11	0.08	Interior_Repr1	12.5532	11.0726	21.2423	5.16828
ENSG00000007516.13	BAIAP3	protein_coding	+	3.63	3.18	Speckle	0	0	Speckle	169.354	0	50.3786	0
ENSG00000007520.3	TSR3	protein_coding	-	28.09	24.58	Speckle	26.95	21.69	Speckle	0	0	0	0
ENSG00000007541.16	PIGQ	protein_coding	+	19.34	16.92	Speckle	32.68	26.3	Speckle	428.771	67.0865	224.98	14.2547
ENSG00000007545.15	CRAMP1	protein_coding	+	12.43	10.88	Speckle	6.91	5.56	Speckle	143.396	285.653	57.4999	62.1237
ENSG00000007866.20	TEAD3	protein_coding	-	15.39	13.47	Speckle	34.88	28.07	Speckle	327.83	394.499	108.847	128.049
ENSG00000007908.15	SELE	protein_coding	-	0	0	Lamina	0	0	Lamina	0	0	0	0
ENSG00000007923.15	DNAJC11	protein_coding	-	48.82	42.72	Speckle	24.65	19.84	Interior_Repr1	42.2066	51.5	44.8131	10.392
ENSG00000007933.12	FMO3	protein_coding	+	0.07	0.06	Lamina	6.75	5.44	Interior_Act3	0	0	0	0
ENSG00000007944.14	MYLIP	protein_coding	+	14.46	12.65	Interior_Act1	0.25	0.2	Interior_Repr2	342.739	8.71573	260.813	4.99065
ENSG00000007952.17	NOX1	protein_coding	-	0	0	Interior_Repr2	0.16	0.13	Interior_Repr1	0	0	0	0
ENSG00000007968.6	E2F2	protein_coding	-	3.78	3.31	Speckle	0.13	0.11	Speckle	106.766	78.3175	66.2319	24.2417
ENSG00000008018.8	PSMB1	protein_coding	-	127	111.14	Interior_Act2	138.51	111.47	Interior_Repr1	258.375	154.453	88.813	45.7452
ENSG00000008056.13	SYN1	protein_coding	-	7.59	6.64	Speckle	0.75	0.6	Interior_Act2	62.2119	0	153.646	0
