gene_id	gene_name	gene_type	strand	TPM.H1	FPKM.H1	SPIN.H1	TPM.HFF	FPKM.HFF	SPIN.HFF
ENSG00000003393.14	ALS2	protein_coding	-	18.54	16.23	Interior_Act1	9.85	7.93	Interior_Act1
ENSG00000003400.14	CASP10	protein_coding	+	2.16	1.89	Interior_Act3	0.41	0.33	Interior_Act1
ENSG00000003402.19	CFLAR	protein_coding	+	0.59	0.51	Interior_Act3	16.99	13.68	Interior_Act1
ENSG00000003436.15	TFPI	protein_coding	-	3.83	3.35	Interior_Act3	17.66	14.21	Interior_Act3
ENSG00000003509.15	NDUFAF7	protein_coding	+	30.06	26.3	Interior_Act3	16.16	13	Interior_Act1
ENSG00000003756.16	RBM5	protein_coding	+	44.42	38.87	Speckle	154.49	124.33	Speckle
ENSG00000003987.13	MTMR7	protein_coding	-	3.87	3.39	Interior_Act3	0	0	Interior_Repr2
ENSG00000003989.17	SLC7A2	protein_coding	+	14.57	12.75	Interior_Act3	0	0	Interior_Repr2
ENSG00000004059.10	ARF5	protein_coding	+	82.7	72.37	Interior_Act3	116.9	94.08	Interior_Act1
ENSG00000004139.13	SARM1	protein_coding	+	4.94	4.32	Interior_Act2	13.72	11.04	Speckle
ENSG00000004142.11	POLDIP2	protein_coding	-	39.73	34.77	Interior_Act2	43.16	34.74	Speckle
ENSG00000004399.12	PLXND1	protein_coding	-	35.64	31.19	Interior_Act1	137.71	110.83	Speckle
ENSG00000004455.16	AK2	protein_coding	-	73.43	64.26	Speckle	104.15	83.82	Speckle
ENSG00000004468.12	CD38	protein_coding	+	0.13	0.12	Interior_Repr1	0	0	Interior_Repr1
ENSG00000004478.7	FKBP4	protein_coding	+	130.49	114.18	Speckle	16.65	13.4	Speckle
ENSG00000004487.16	KDM1A	protein_coding	+	147.42	129	Speckle	32.96	26.53	Speckle
ENSG00000004534.14	RBM6	protein_coding	+	43.01	37.64	Speckle	52.83	42.51	Speckle
ENSG00000004660.14	CAMKK1	protein_coding	-	4.07	3.56	Speckle	4.87	3.92	Speckle
ENSG00000004700.15	RECQL	protein_coding	-	21.65	18.95	Lamina	8.08	6.5	Near_Lm2
ENSG00000004766.16	VPS50	protein_coding	+	5	4.37	Interior_Act3	8.01	6.44	Interior_Act3
ENSG00000004776.12	HSPB6	protein_coding	-	0.1	0.09	Speckle	188.4	151.62	Speckle
ENSG00000004777.18	ARHGAP33	protein_coding	+	13.52	11.83	Speckle	6.49	5.22	Speckle
ENSG00000004779.9	NDUFAB1	protein_coding	-	72.65	63.58	Speckle	41.72	33.58	Interior_Repr1
ENSG00000004799.7	PDK4	protein_coding	-	0.14	0.12	Interior_Act3	0	0	Near_Lm1
ENSG00000004809.13	SLC22A16	protein_coding	-	0	0	Interior_Act1	0	0	Interior_Repr2
ENSG00000004838.13	ZMYND10	protein_coding	-	0.3	0.26	Speckle	1.04	0.83	Speckle
ENSG00000004846.16	ABCB5	protein_coding	+	0	0	Interior_Act3	0	0	Lamina
ENSG00000004848.7	ARX	protein_coding	-	0	0	Interior_Act3	0	0	Interior_Repr2
ENSG00000004864.13	SLC25A13	protein_coding	-	45.85	40.12	Near_Lm2	3.9	3.14	Interior_Repr2
ENSG00000004866.20	ST7	protein_coding	+	9.64	8.44	Interior_Act3	13.42	10.8	Interior_Act1
ENSG00000004897.11	CDC27	protein_coding	-	46.99	41.12	Speckle	18.55	14.93	Speckle
ENSG00000004939.14	SLC4A1	protein_coding	-	0.01	0.01	Speckle	0	0	Speckle
ENSG00000004948.14	CALCR	protein_coding	-	1.93	1.69	Interior_Act3	0	0	Interior_Act3
ENSG00000004961.14	HCCS	protein_coding	+	16.05	14.04	Lamina	12.08	9.72	Interior_Act3
ENSG00000004975.11	DVL2	protein_coding	-	31.99	28	Speckle	16.64	13.39	Speckle
ENSG00000005001.9	PRSS22	protein_coding	-	2.37	2.08	Speckle	0	0	Speckle
ENSG00000005007.12	UPF1	protein_coding	+	33.28	29.12	Speckle	14.59	11.74	Speckle
ENSG00000005020.12	SKAP2	protein_coding	-	2.72	2.38	Interior_Repr2	2.22	1.79	Interior_Repr2
ENSG00000005022.5	SLC25A5	protein_coding	+	274.64	240.33	Interior_Act1	49.68	39.98	Interior_Act1
ENSG00000005059.15	MCUB	protein_coding	+	10.43	9.13	Interior_Act3	3.92	3.15	Interior_Repr2
ENSG00000005073.5	HOXA11	protein_coding	-	0	0	Interior_Act1	22.27	17.92	Interior_Repr1
ENSG00000005075.15	POLR2J	protein_coding	-	29.06	25.43	Interior_Act2	106.3	85.55	Speckle
ENSG00000005100.12	DHX33	protein_coding	-	37.56	32.87	Speckle	5.35	4.3	Speckle
ENSG00000005102.12	MEOX1	protein_coding	-	0.04	0.04	Speckle	0	0	Speckle
ENSG00000005108.15	THSD7A	protein_coding	-	0.67	0.59	Lamina	0.02	0.01	Lamina
ENSG00000005156.11	LIG3	protein_coding	+	47.95	41.96	Near_Lm1	4.45	3.58	Interior_Repr1
ENSG00000005175.9	RPAP3	protein_coding	-	32.49	28.43	Interior_Act2	10.8	8.7	Speckle
ENSG00000005187.11	ACSM3	protein_coding	+	3.31	2.89	Near_Lm1	0.38	0.31	Near_Lm1
ENSG00000005189.19	REXO5	protein_coding	+	4.8	4.2	Interior_Act2	1.8	1.45	Near_Lm1
ENSG00000005194.14	CIAPIN1	protein_coding	-	44.89	39.28	Speckle	23.28	18.73	Speckle
ENSG00000005206.16	SPPL2B	protein_coding	+	29.91	26.17	Speckle	37.47	30.15	Speckle
ENSG00000005238.19	FAM214B	protein_coding	-	3.69	3.23	Interior_Act2	32.82	26.41	Interior_Act2
ENSG00000005243.9	COPZ2	protein_coding	-	0	0	Speckle	208.71	167.97	Speckle
ENSG00000005249.12	PRKAR2B	protein_coding	+	19.87	17.39	Interior_Act3	0.78	0.63	Interior_Act3
ENSG00000005302.18	MSL3	protein_coding	+	6.62	5.8	Lamina	13.83	11.13	Interior_Repr2
ENSG00000005339.14	CREBBP	protein_coding	-	32.29	28.25	Speckle	16.39	13.19	Speckle
ENSG00000005379.16	TSPOAP1	protein_coding	-	4.94	4.32	Speckle	4.12	3.32	Near_Lm1
ENSG00000005381.7	MPO	protein_coding	-	0.4	0.35	Speckle	0	0	Near_Lm1
ENSG00000005421.8	PON1	protein_coding	-	0.11	0.09	Interior_Act3	0	0	Near_Lm1
ENSG00000005436.13	GCFC2	protein_coding	-	10.23	8.95	Interior_Repr2	7.39	5.95	Interior_Act3
ENSG00000005448.16	WDR54	protein_coding	+	22.36	19.57	Speckle	8.22	6.61	Speckle
ENSG00000005469.11	CROT	protein_coding	+	3.03	2.65	Lamina	10	8.04	Interior_Repr2
ENSG00000005471.17	ABCB4	protein_coding	-	0.32	0.28	Lamina	0.3	0.25	Interior_Repr2
ENSG00000005483.20	KMT2E	protein_coding	+	24.14	21.12	Interior_Act1	13.27	10.68	Interior_Act1
ENSG00000005486.16	RHBDD2	protein_coding	+	15.2	13.3	Speckle	77.1	62.05	Speckle
ENSG00000005513.9	SOX8	protein_coding	+	3.04	2.66	Interior_Act2	0.26	0.21	Speckle
ENSG00000005700.14	IBTK	protein_coding	-	12.97	11.35	Lamina	10.64	8.56	Interior_Act3
ENSG00000005801.17	ZNF195	protein_coding	-	47.55	41.61	Interior_Act2	13.78	11.09	Interior_Act2
ENSG00000005810.17	MYCBP2	protein_coding	-	27.99	24.49	Interior_Act3	17.86	14.37	Interior_Act3
ENSG00000005812.10	FBXL3	protein_coding	-	7.98	6.98	Interior_Act3	9.82	7.9	Interior_Act3
ENSG00000005844.17	ITGAL	protein_coding	+	0	0	Interior_Act2	0.07	0.06	Speckle
ENSG00000005882.11	PDK2	protein_coding	+	9.8	8.58	Speckle	38.83	31.25	Speckle
ENSG00000005884.17	ITGA3	protein_coding	+	13.01	11.38	Speckle	158.59	127.63	Speckle
ENSG00000005889.15	ZFX	protein_coding	+	11.81	10.34	Interior_Act1	5.93	4.77	Interior_Act1
ENSG00000005893.15	LAMP2	protein_coding	-	16.08	14.07	Interior_Act3	54.59	43.93	Interior_Repr1
ENSG00000005961.18	ITGA2B	protein_coding	-	6.58	5.76	Speckle	0.52	0.42	Speckle
ENSG00000005981.12	ASB4	protein_coding	+	0	0	Interior_Act3	0	0	Near_Lm1
ENSG00000006007.11	GDE1	protein_coding	-	38.02	33.27	Interior_Act2	44.58	35.88	Interior_Repr1
ENSG00000006015.17	REX1BD	protein_coding	+	30.49	26.68	Speckle	26.13	21.03	Speckle
ENSG00000006016.10	CRLF1	protein_coding	-	5.55	4.86	Speckle	37.51	30.19	Speckle
ENSG00000006025.11	OSBPL7	protein_coding	-	4.79	4.19	Speckle	6.65	5.35	Speckle
ENSG00000006042.11	TMEM98	protein_coding	+	46.25	40.47	Near_Lm1	36.14	29.09	Interior_Repr1
ENSG00000006047.12	YBX2	protein_coding	-	16.36	14.32	Speckle	0	0	Speckle
ENSG00000006059.3	KRT33A	protein_coding	-	0	0	Interior_Act2	0	0	Speckle
ENSG00000006062.15	MAP3K14	protein_coding	-	3.29	2.88	Speckle	4.07	3.28	Speckle
ENSG00000006071.13	ABCC8	protein_coding	-	2.01	1.76	Interior_Act1	0	0	Interior_Repr1
ENSG00000006116.3	CACNG3	protein_coding	+	0	0	Speckle	0	0	Near_Lm1
ENSG00000006118.14	TMEM132A	protein_coding	+	52.57	46	Interior_Act2	22.68	18.25	Interior_Repr1
ENSG00000006125.17	AP2B1	protein_coding	+	106.63	93.31	Near_Lm1	34.93	28.11	Interior_Act2
ENSG00000006128.11	TAC1	protein_coding	+	2.32	2.03	Interior_Repr2	0	0	Interior_Repr2
ENSG00000006194.9	ZNF263	protein_coding	+	14.33	12.54	Speckle	11.57	9.31	Speckle
ENSG00000006210.6	CX3CL1	protein_coding	+	0.75	0.65	Speckle	0	0	Speckle
ENSG00000006282.20	SPATA20	protein_coding	+	8.68	7.6	Speckle	66.35	53.39	Speckle
ENSG00000006283.17	CACNA1G	protein_coding	+	2.62	2.29	Speckle	0.24	0.19	Speckle
ENSG00000006327.13	TNFRSF12A	protein_coding	+	43.48	38.05	Speckle	322.14	259.25	Speckle
ENSG00000006377.10	DLX6	protein_coding	+	0	0	Interior_Repr2	0	0	Interior_Repr2
ENSG00000006432.15	MAP3K9	protein_coding	-	13.28	11.62	Interior_Act1	0.02	0.02	Near_Lm1
ENSG00000006451.7	RALA	protein_coding	+	39.08	34.2	Interior_Act1	15.75	12.67	Interior_Act1
ENSG00000006453.13	BAIAP2L1	protein_coding	-	23.02	20.14	Interior_Act1	8.01	6.44	Interior_Repr1
ENSG00000006459.10	KDM7A	protein_coding	-	6.7	5.87	Interior_Act1	3.4	2.74	Interior_Repr1
ENSG00000006468.13	ETV1	protein_coding	-	48.96	42.85	Interior_Act3	3.2	2.58	Interior_Repr2
ENSG00000006530.16	AGK	protein_coding	+	18.25	15.97	Interior_Act1	6.93	5.58	Interior_Repr2
ENSG00000006534.15	ALDH3B1	protein_coding	+	0.17	0.14	Speckle	34.1	27.44	Speckle
ENSG00000006555.10	TTC22	protein_coding	-	0.88	0.77	Interior_Act1	0	0	Interior_Act1
ENSG00000006576.16	PHTF2	protein_coding	+	13.62	11.91	Interior_Act3	10.29	8.28	Interior_Act1
ENSG00000006606.8	CCL26	protein_coding	-	8	7	Speckle	1.77	1.42	Speckle
ENSG00000006607.13	FARP2	protein_coding	+	17.94	15.7	Speckle	14	11.27	Speckle
ENSG00000006611.15	USH1C	protein_coding	-	0.69	0.6	Interior_Act1	0	0	Interior_Repr1
ENSG00000006625.17	GGCT	protein_coding	-	69.05	60.42	Interior_Act1	16.92	13.62	Interior_Repr1
ENSG00000006634.7	DBF4	protein_coding	+	44.26	38.73	Lamina	2.73	2.19	Interior_Repr2
ENSG00000006638.11	TBXA2R	protein_coding	-	0.27	0.24	Speckle	2.63	2.11	Speckle
ENSG00000006652.13	IFRD1	protein_coding	+	27.05	23.67	Interior_Act3	36.66	29.5	Interior_Repr2
ENSG00000006659.12	LGALS14	protein_coding	+	0.27	0.23	Interior_Act2	0	0	Near_Lm1
ENSG00000006695.10	COX10	protein_coding	+	12.37	10.83	Near_Lm1	5.28	4.25	Interior_Repr1
ENSG00000006704.10	GTF2IRD1	protein_coding	+	24.38	21.33	Speckle	27.55	22.17	Speckle
ENSG00000006712.14	PAF1	protein_coding	-	16.87	14.76	Speckle	28.12	22.63	Speckle
ENSG00000006715.15	VPS41	protein_coding	-	33.97	29.73	Near_Lm2	8.85	7.12	Interior_Repr2
ENSG00000006740.16	ARHGAP44	protein_coding	+	11.9	10.42	Near_Lm1	0.62	0.5	Near_Lm1
ENSG00000006744.18	ELAC2	protein_coding	-	49.2	43.06	Near_Lm1	27.72	22.31	Near_Lm1
ENSG00000006747.14	SCIN	protein_coding	+	1	0.88	Interior_Act3	1.09	0.88	Interior_Repr2
ENSG00000006756.15	ARSD	protein_coding	-	1.73	1.51	Interior_Act1	3.1	2.49	Interior_Repr1
ENSG00000006757.11	PNPLA4	protein_coding	-	7.68	6.72	Interior_Repr2	8.15	6.56	Interior_Repr2
ENSG00000006788.13	MYH13	protein_coding	-	0	0	Near_Lm1	0	0	Near_Lm1
ENSG00000006831.9	ADIPOR2	protein_coding	+	27.26	23.85	Interior_Act2	15.79	12.71	Speckle
ENSG00000006837.11	CDKL3	protein_coding	-	0.9	0.78	Interior_Act1	1.5	1.21	Interior_Act1
ENSG00000007001.12	UPP2	protein_coding	+	0	0	Interior_Act3	0	0	Interior_Repr2
ENSG00000007038.10	PRSS21	protein_coding	+	0.56	0.49	Speckle	0	0	Speckle
ENSG00000007047.14	MARK4	protein_coding	+	26.73	23.39	Speckle	40.67	32.73	Speckle
ENSG00000007062.11	PROM1	protein_coding	-	32.05	28.05	Interior_Repr1	0	0	Interior_Repr1
ENSG00000007080.10	CCDC124	protein_coding	+	55.45	48.52	Speckle	68.11	54.82	Speckle
ENSG00000007129.17	CEACAM21	protein_coding	+	0.27	0.24	Interior_Act2	0	0	Interior_Act2
ENSG00000007168.12	PAFAH1B1	protein_coding	+	81.35	71.19	Speckle	34.02	27.38	Speckle
ENSG00000007171.17	NOS2	protein_coding	-	1.04	0.91	Near_Lm1	0	0	Near_Lm1
ENSG00000007174.17	DNAH9	protein_coding	+	0.46	0.41	Near_Lm1	0	0	Near_Lm1
ENSG00000007202.14	KIAA0100	protein_coding	-	75.17	65.78	Speckle	23.14	18.62	Speckle
ENSG00000007216.14	SLC13A2	protein_coding	+	0	0	Interior_Act2	0	0	Speckle
ENSG00000007237.18	GAS7	protein_coding	-	7.78	6.81	Interior_Act2	2.64	2.12	Interior_Act2
ENSG00000007255.10	TRAPPC6A	protein_coding	-	17.09	14.96	Speckle	7.33	5.9	Speckle
ENSG00000007264.14	MATK	protein_coding	-	11.48	10.04	Speckle	0	0	Speckle
ENSG00000007306.14	CEACAM7	protein_coding	-	0	0	Interior_Act2	0	0	Interior_Act2
ENSG00000007312.12	CD79B	protein_coding	-	0.79	0.69	Speckle	0.34	0.28	Speckle
ENSG00000007314.12	SCN4A	protein_coding	-	4.56	3.99	Speckle	0	0	Speckle
ENSG00000007341.18	ST7L	protein_coding	-	8.71	7.62	Speckle	8.68	6.99	Interior_Act1
ENSG00000007350.16	TKTL1	protein_coding	+	0	0	Interior_Act2	0	0	Speckle
ENSG00000007372.22	PAX6	protein_coding	-	0.16	0.14	Interior_Repr1	0.14	0.11	Interior_Repr2
ENSG00000007376.7	RPUSD1	protein_coding	-	17.31	15.15	Speckle	15.88	12.78	Speckle
ENSG00000007384.15	RHBDF1	protein_coding	-	20.06	17.55	Interior_Act2	80.21	64.55	Interior_Act2
ENSG00000007392.16	LUC7L	protein_coding	-	69.19	60.55	Speckle	54.59	43.94	Speckle
ENSG00000007402.11	CACNA2D2	protein_coding	-	7.59	6.64	Speckle	0.11	0.08	Interior_Repr1
ENSG00000007516.13	BAIAP3	protein_coding	+	3.63	3.18	Speckle	0	0	Speckle
ENSG00000007520.3	TSR3	protein_coding	-	28.09	24.58	Speckle	26.95	21.69	Speckle
ENSG00000007541.16	PIGQ	protein_coding	+	19.34	16.92	Speckle	32.68	26.3	Speckle
ENSG00000007545.15	CRAMP1	protein_coding	+	12.43	10.88	Speckle	6.91	5.56	Speckle
ENSG00000007866.20	TEAD3	protein_coding	-	15.39	13.47	Speckle	34.88	28.07	Speckle
ENSG00000007908.15	SELE	protein_coding	-	0	0	Lamina	0	0	Lamina
ENSG00000007923.15	DNAJC11	protein_coding	-	48.82	42.72	Speckle	24.65	19.84	Interior_Repr1
ENSG00000007933.12	FMO3	protein_coding	+	0.07	0.06	Lamina	6.75	5.44	Interior_Act3
ENSG00000007944.14	MYLIP	protein_coding	+	14.46	12.65	Interior_Act1	0.25	0.2	Interior_Repr2
ENSG00000007952.17	NOX1	protein_coding	-	0	0	Interior_Repr2	0.16	0.13	Interior_Repr1
ENSG00000007968.6	E2F2	protein_coding	-	3.78	3.31	Speckle	0.13	0.11	Speckle
ENSG00000008018.8	PSMB1	protein_coding	-	127	111.14	Interior_Act2	138.51	111.47	Interior_Repr1
ENSG00000008056.13	SYN1	protein_coding	-	7.59	6.64	Speckle	0.75	0.6	Interior_Act2
ENSG00000008083.13	JARID2	protein_coding	+	128.55	112.49	Interior_Act1	4.05	3.26	Interior_Act1
ENSG00000008086.11	CDKL5	protein_coding	+	8.4	7.35	Interior_Act1	0.9	0.73	Interior_Repr2
ENSG00000008118.9	CAMK1G	protein_coding	+	0.56	0.49	Interior_Act3	0.58	0.47	Interior_Repr2
ENSG00000008128.22	CDK11A	protein_coding	-	24.47	21.42	Speckle	25.24	20.32	Speckle
ENSG00000008130.15	NADK	protein_coding	-	48.18	42.17	Speckle	25.48	20.5	Speckle
ENSG00000008196.12	TFAP2B	protein_coding	+	0	0	Interior_Repr1	0	0	Lamina
ENSG00000008197.4	TFAP2D	protein_coding	+	0	0	Interior_Repr1	0	0	Lamina
ENSG00000008226.19	DLEC1	protein_coding	+	0.41	0.36	Interior_Act1	0.52	0.42	Interior_Repr1
ENSG00000008256.15	CYTH3	protein_coding	-	6.37	5.58	Interior_Act1	18.87	15.18	Speckle
ENSG00000008277.14	ADAM22	protein_coding	+	11.47	10.04	Lamina	0	0	Lamina
ENSG00000008282.8	SYPL1	protein_coding	-	31	27.13	Interior_Act3	11.58	9.32	Interior_Act1
ENSG00000008283.15	CYB561	protein_coding	-	12.56	10.99	Interior_Act2	7.59	6.11	Speckle
ENSG00000008294.20	SPAG9	protein_coding	-	34.24	29.97	Interior_Act1	17.29	13.92	Speckle
ENSG00000008300.16	CELSR3	protein_coding	-	15.85	13.87	Speckle	3.87	3.12	Speckle
ENSG00000008311.14	AASS	protein_coding	-	211.69	185.25	Interior_Act3	4.44	3.58	Lamina
ENSG00000008323.15	PLEKHG6	protein_coding	+	13.7	11.99	Speckle	0	0	Speckle
ENSG00000008324.11	SS18L2	protein_coding	+	44.42	38.87	Interior_Act1	9.55	7.69	Interior_Repr1
ENSG00000008382.15	MPND	protein_coding	+	14.87	13.01	Speckle	4.11	3.31	Speckle
ENSG00000008394.12	MGST1	protein_coding	+	237.52	207.85	Lamina	334.93	269.55	Interior_Repr2
ENSG00000008405.11	CRY1	protein_coding	-	13.46	11.77	Interior_Act1	3.98	3.2	Interior_Repr2
ENSG00000008438.4	PGLYRP1	protein_coding	-	0	0	Speckle	0	0	Speckle
ENSG00000008441.16	NFIX	protein_coding	+	0.11	0.09	Speckle	38.91	31.32	Speckle
ENSG00000008513.15	ST3GAL1	protein_coding	-	3	2.63	Interior_Repr1	5.58	4.49	Interior_Act1
ENSG00000008516.16	MMP25	protein_coding	+	14.32	12.53	Speckle	0	0	Speckle
ENSG00000008517.16	IL32	protein_coding	+	1.45	1.27	Speckle	14.27	11.49	Speckle
ENSG00000008710.19	PKD1	protein_coding	-	28.28	24.75	Speckle	154.74	124.53	Speckle
ENSG00000008735.13	MAPK8IP2	protein_coding	+	2.93	2.57	Speckle	0.54	0.44	Speckle
ENSG00000008838.19	MED24	protein_coding	-	48.62	42.55	Speckle	38.4	30.9	Speckle
ENSG00000008853.16	RHOBTB2	protein_coding	+	6.49	5.68	Interior_Act1	4.57	3.68	Speckle
ENSG00000008869.11	HEATR5B	protein_coding	-	6.77	5.93	Interior_Act3	9.87	7.94	Interior_Act3
ENSG00000008952.16	SEC62	protein_coding	+	36.41	31.86	Interior_Act3	71.08	57.21	Interior_Repr2
ENSG00000008988.9	RPS20	protein_coding	-	1333	1166.47	Interior_Repr1	1084.23	872.58	Interior_Act1
ENSG00000009307.15	CSDE1	protein_coding	-	340.84	298.26	Interior_Act2	168.94	135.96	Interior_Act3
ENSG00000009335.17	UBE3C	protein_coding	+	29.03	25.4	Interior_Act1	13.37	10.76	Interior_Repr1
ENSG00000009413.15	REV3L	protein_coding	-	3.54	3.09	Interior_Act3	7.85	6.32	Interior_Act3
ENSG00000009694.13	TENM1	protein_coding	-	0.96	0.84	Lamina	0	0	Interior_Repr2
ENSG00000009709.11	PAX7	protein_coding	+	0.01	0.01	Speckle	0	0	Interior_Repr1
ENSG00000009724.16	MASP2	protein_coding	-	0.64	0.56	Speckle	0.04	0.03	Interior_Act1
ENSG00000009765.14	IYD	protein_coding	+	0	0	Interior_Act3	0	0	Interior_Repr2
ENSG00000009780.15	FAM76A	protein_coding	+	8.68	7.59	Speckle	4.98	4.01	Speckle
ENSG00000009790.14	TRAF3IP3	protein_coding	+	0	0	Interior_Act3	0	0	Interior_Act3
ENSG00000009830.11	POMT2	protein_coding	-	24.13	21.11	Interior_Act1	13.65	10.99	Interior_Act2
ENSG00000009844.15	VTA1	protein_coding	+	34.13	29.86	Lamina	27.87	22.43	Interior_Act3
ENSG00000009950.15	MLXIPL	protein_coding	-	5.07	4.44	Speckle	0.27	0.21	Speckle
ENSG00000009954.10	BAZ1B	protein_coding	-	46.63	40.8	Speckle	15.8	12.71	Speckle
ENSG00000010017.12	RANBP9	protein_coding	-	19.68	17.22	Interior_Act1	22.3	17.95	Interior_Act3
ENSG00000010030.13	ETV7	protein_coding	-	0.29	0.26	Speckle	0.59	0.47	Speckle
ENSG00000010072.15	SPRTN	protein_coding	+	8.1	7.09	Interior_Act2	3.55	2.85	Interior_Repr2
ENSG00000010165.19	METTL13	protein_coding	+	35.61	31.16	Interior_Act3	7.15	5.76	Interior_Act3
ENSG00000010219.13	DYRK4	protein_coding	+	5.64	4.94	Interior_Act2	49.86	40.13	Near_Lm1
ENSG00000010244.18	ZNF207	protein_coding	+	144.04	126.05	Interior_Act2	62.73	50.48	Speckle
ENSG00000010256.10	UQCRC1	protein_coding	-	166.3	145.53	Speckle	127.66	102.74	Speckle
ENSG00000010270.13	STARD3NL	protein_coding	+	21.77	19.05	Near_Lm2	13.48	10.85	Interior_Repr2
ENSG00000010278.13	CD9	protein_coding	+	90.18	78.91	Speckle	28.73	23.12	Speckle
ENSG00000010282.14	HHATL	protein_coding	-	0	0	Interior_Act1	0	0	Interior_Repr1
ENSG00000010292.12	NCAPD2	protein_coding	+	70.99	62.12	Speckle	10.68	8.59	Speckle
ENSG00000010295.19	IFFO1	protein_coding	-	6.35	5.56	Speckle	26.35	21.21	Speckle
ENSG00000010310.8	GIPR	protein_coding	+	0.71	0.62	Speckle	0.15	0.12	Speckle
ENSG00000010318.20	PHF7	protein_coding	+	5.09	4.45	Speckle	2.73	2.2	Speckle
ENSG00000010319.6	SEMA3G	protein_coding	-	0.79	0.69	Speckle	0	0	Speckle
ENSG00000010322.15	NISCH	protein_coding	+	38.62	33.8	Speckle	69.88	56.24	Speckle
ENSG00000010327.10	STAB1	protein_coding	+	1.03	0.9	Speckle	0.13	0.1	Speckle
ENSG00000010361.13	FUZ	protein_coding	-	18.22	15.95	Speckle	9.24	7.44	Speckle
